S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
1920,15027,Kandhi (678),कांढ़ी (678),Bali Chowki(Sub-District) / Mandi(District) / Himachal Pradesh(State),00819500,015027,N,,,,
1921,15320,Kandhi (9),काण्ढी (9),Chachyot(Sub-District) / Mandi(District) / Himachal Pradesh(State),00848800,015320,N,,,,
1922,15083,Kandhi (95),कण्ढी (95),Thunag(Sub-District) / Mandi(District) / Himachal Pradesh(State),00825100,015083,N,,,,
1923,15200,Kandhidhar (348),कण्ढीधार (348),Thunag(Sub-District) / Mandi(District) / Himachal Pradesh(State),00836800,015200,N,,,,
1924,15507,Kandhigalu (233),काण्ढीगलू (233),Chachyot(Sub-District) / Mandi(District) / Himachal Pradesh(State),00867500,015507,N,,,,
1925,15721,Kandhi-I (301),काण्ढी-1 (301),Nihri(Sub-District) / Mandi(District) / Himachal Pradesh(State),00888900,015721,N,,,,
1926,15749,Kandhi - II (262),काण्ढी-II (262),Pangna(Sub-District) / Mandi(District) / Himachal Pradesh(State),00891700,015749,N,,,,
1927,16121,Kandhi II (290),काण्डी-2 (290),Bagshad(Sub-District) / Mandi(District) / Himachal Pradesh(State),00928900,016121,N,,,,
1928,16068,Kandhi-III (339),काण्डी-3 (339),Bagshad(Sub-District) / Mandi(District) / Himachal Pradesh(State),00923600,016068,N,,,,
1929,15061,Kandhi Kalwara (516),कांन्ढी कलवाड़ा (516),Bagachnogi(Sub-District) / Mandi(District) / Himachal Pradesh(State),00822900,015061,N,,,,
1930,15352,Kandhitilli (34),काण्ढी टिल्ली (34),Chachyot(Sub-District) / Mandi(District) / Himachal Pradesh(State),00852000,015352,N,,,,
1931,15487,Kandhli (210),काण्ढली (210),Chachyot(Sub-District) / Mandi(District) / Himachal Pradesh(State),00865500,015487,N,,,,
1932,15404,Kandhol (61),कण्ढोल (61),Chachyot(Sub-District) / Mandi(District) / Himachal Pradesh(State),00857200,015404,N,,,,
1933,16233,Kandlu (455),काण्डलू (455),Karsog(Sub-District) / Mandi(District) / Himachal Pradesh(State),00940100,016233,N,,,,
1934,13597,Kandroh (33),कन्द्रोह (33),Sandhol(Sub-District) / Mandi(District) / Himachal Pradesh(State),00676500,013597,N,,,,
1935,13896,Kandyol (234),कण्डयोल (234),Sarkaghat(Sub-District) / Mandi(District) / Himachal Pradesh(State),00706400,013896,N,,,,
1936,13882,Kandyol (305),कण्डयोल (305),Sarkaghat(Sub-District) / Mandi(District) / Himachal Pradesh(State),00705000,013882,N,,,,
1937,15759,Kanej (317),कनेज (317),Pangna(Sub-District) / Mandi(District) / Himachal Pradesh(State),00892700,015759,N,,,,
1938,15888,Kaneri (223),कनेरी (223),Pangna(Sub-District) / Mandi(District) / Himachal Pradesh(State),00905600,015888,N,,,,
1939,14320,Kangar (22),कांगर (22),Sundarnagar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00748800,014320,N,,,,
1940,13875,Kangar Kothi (212,कंगर कोठी (212),Sarkaghat(Sub-District) / Mandi(District) / Himachal Pradesh(State),00704300,013875,N,,,,
1941,14217,Kanghwan (575),कंघवान (575),Baldwara(Sub-District) / Mandi(District) / Himachal Pradesh(State),00738500,014217,N,,,,
